,ID,t,phi,f,P,mw,w10m,v,r,rf
8,1726,0,122.7,1.54e-05,1004.0,0.0,4.14,27.76141063,325.7359011,4.08
9,1726,3,122.2,1.49e-05,1004.0,0.0,5.68,23.42472396,338.2741814,10.53
22,1826,-9,123.0,2.1e-05,955.0,80.0,2.18,21.3136638,324.9946037,0.03
28,1826,9,119.1,2.11e-05,985.0,55.0,6.41,19.23204746,324.199513,18.42
29,1826,12,118.85,2.13e-05,987.5,52.5,5.26,9.611671618,349.5923433,17.85
41,1330,-3,121.5,1.47e-05,940.0,90.0,6.36,37.49999997,332.6281374,31.74
42,1330,0,120.5,1.5e-05,940.0,90.0,7.64,37.46799418,304.626243,27.36
43,1330,3,119.25,1.52e-05,940.0,90.0,8.35,45.6991426,340.4249828,19.11
54,2002,-15,123.9,1.8e-05,1006.0,0.0,1.9,18.16600441,316.5491294,13.98
64,2002,15,118.3,2.05e-05,1000.0,0.0,5.55,20.34935585,348.9422836,32.58
89,1325,-12,123.9,1.92e-05,970.0,70.0,1.42,21.47480813,322.6708067,2.85
98,1325,15,118.2,1.91e-05,970.0,70.0,4.53,14.32335264,306.1040188,26.7
123,1724,-12,123.55,1.64e-05,1005.0,0.0,2.61,29.29918779,330.5465911,3.6
132,1724,15,118.5,1.99e-05,1002.0,35.0,3.29,20.81115625,302.1578491,65.97
157,1311,-12,124.15,1.92e-05,932.5,97.5,1.66,24.41237023,348.793565,6.45
164,1311,9,119.2,2.15e-05,965.0,70.0,4.5,29.82758853,344.8301564,11.22
175,1510,-9,123.4,2.08e-05,985.0,45.0,4.22,15.26454709,343.5684733,3.75
176,1510,-6,123.0,2.1e-05,985.0,45.0,4.98,15.25414,324.9946037,5.7
177,1510,-3,122.8,2.11e-05,985.0,45.0,4.92,8.006615797,320.0032559,11.07
178,1510,0,122.6,2.13e-05,985.0,45.0,3.61,8.003272638,316.7869072,4.32
179,1510,3,122.3,2.16e-05,987.5,42.5,3.71,14.09089928,325.3387384,1.02
180,1510,6,122.0,2.19e-05,990.0,40.0,4.15,14.08000982,339.0558762,4.14
181,1510,9,121.15,2.22e-05,991.0,40.0,4.1,31.43053278,349.5769836,3.96
191,1929,-12,122.4,1.5e-05,975.0,75.0,2.89,18.24847321,337.4745266,4.44
192,1929,-9,121.85,1.51e-05,977.5,72.5,3.48,20.30236463,304.0253823,6.06
199,1929,12,118.6,1.65e-05,985.0,65.0,3.94,13.81260065,307.5240474,13.95
200,1929,15,118.3,1.67e-05,980.0,70.0,3.64,12.17349499,327.1825703,11.94
201,1929,18,118.0,1.69e-05,975.0,75.0,2.86,12.16752677,349.4932684,14.19
234,1003,15,117.8,1.83e-05,1004.0,0.0,2.05,19.83597517,342.8024685,8.97
241,1220,-15,117.85,1.92e-05,990.0,50.0,2.55,5.368702033,345.066929,12.84
242,1220,-12,118.0,1.92e-05,990.0,50.0,2.77,5.368702033,329.3889472,16.65
243,1220,-9,118.1,1.91e-05,991.0,47.5,2.88,4.029527666,317.7349046,21.51
244,1220,-6,118.2,1.91e-05,992.0,45.0,1.98,4.030281924,306.1040188,13.86
248,1220,6,118.2,1.87e-05,992.0,45.0,3.61,2.575917188,301.0939669,3.63
249,1220,9,118.1,1.85e-05,993.0,42.5,3.57,6.607761423,310.6934526,1.38
250,1220,12,118.0,1.83e-05,994.0,40.0,3.23,6.609078078,321.2575113,1.32
293,1625,-12,121.3,1.45e-05,1000.0,0.0,3.79,21.89518532,346.1856433,8.52
294,1625,-9,121.0,1.46e-05,999.0,17.5,5.06,11.51478947,333.3557909,5.25
295,1625,-6,120.7,1.47e-05,998.0,35.0,6.09,11.51107688,323.7196399,13.47
300,1625,9,118.2,1.7e-05,993.0,47.5,4.9,21.1801774,325.1279602,10.47
328,1119,-9,122.7,2.1e-05,935.0,95.0,2.88,24.93463732,304.7854104,0.45
334,1119,9,118.8,2.05e-05,965.0,70.0,5.45,16.01855147,306.6324787,6.36
346,1723,-6,122.3,1.5e-05,1008.0,0.0,3.78,16.7524869,332.630778,21.42
347,1723,-3,121.65,1.5e-05,1007.0,0.0,4.18,23.60087642,308.7549817,30.54
348,1723,0,121.0,1.5e-05,1006.0,0.0,4.52,23.60087642,300.0701044,42.12
349,1723,3,120.25,1.51e-05,1005.0,0.0,5.26,27.28949899,305.1204162,36.99
350,1723,6,119.5,1.51e-05,1004.0,0.0,5.19,27.28447172,330.9835544,28.26
351,1723,9,119.05,1.52e-05,1003.0,0.0,5.04,16.7406716,348.4892654,30.39
360,2021,-15,123.7,1.64e-05,1004.0,0.0,3.64,42.43389516,344.3672112,2.61
378,2019,-12,123.6,1.7e-05,945.0,100.0,3.1,25.85910696,308.717621,27.96
387,2019,15,118.0,1.88e-05,1000.0,35.0,4.84,15.37620605,323.0273971,2.22
413,1223,-9,122.3,1.5e-05,996.0,40.0,4.87,30.48353444,332.630778,2.37
428,1626,-15,124.0,1.7e-05,925.0,100.0,5.74,19.84468281,348.882261,1.62
446,1928,-12,123.5,1.66e-05,950.0,90.0,3.09,22.37448983,314.2292045,1.98
455,1928,15,118.1,1.74e-05,988.5,55.0,6.03,18.84893932,322.5631409,25.5
465,1720,-6,120.3,2.2e-05,992.0,35.0,2.49,30.39425191,340.2641128,4.5
466,1720,-3,119.85,2.16e-05,988.5,40.0,2.14,20.54121353,317.3419406,3.6
467,1720,0,119.4,2.11e-05,985.0,45.0,2.35,20.56437931,305.4741235,3.45
468,1720,3,119.05,2.1e-05,985.0,45.0,3.83,12.97163068,319.0321755,3.75
469,1720,6,118.7,2.09e-05,985.0,45.0,5.46,12.97788868,336.6148571,3.99
480,1522,-12,123.8,1.82e-05,1006.0,0.0,1.44,27.48680125,303.9047948,4.05
488,1522,12,118.9,2.07e-05,996.0,45.0,4.65,21.42704427,306.0328195,19.23
512,1524,-18,123.8,1.98e-05,930.0,95.0,3.04,12.49658866,329.7092325,3.66
531,1714,-12,123.9,1.88e-05,996.0,40.0,1.77,18.01624789,316.8000123,0.96
539,1714,12,119.5,2.15e-05,996.0,40.0,2.98,31.51738637,328.3797579,10.95
552,1622,0,121.5,2.21e-05,940.0,90.0,5.41,29.23176886,347.9349719,2.7
564,1621,-15,123.9,1.85e-05,955.0,80.0,3.57,14.57871292,314.3561255,3.39
641,2001,12,120.0,2.16e-05,1000.0,35.0,1.5,22.95495411,316.8676423,18.33
666,1002,-15,124.15,1.8e-05,975.0,65.0,1.37,23.43977846,342.798101,3.39
676,1002,15,118.0,1.96e-05,991.0,47.5,3.94,16.8084752,340.0849456,15.9
700,2022,-15,124.05,1.82e-05,972.5,67.5,2.24,20.10177415,330.8302991,6.84
710,2022,15,117.9,1.9e-05,980.0,60.0,7.24,21.56955715,336.6771134,38.97
794,2018,12,118.15,1.69e-05,970.0,70.0,8.27,23.46259834,334.541731,8.25
854,2015,-12,123.9,1.72e-05,1006.0,0.0,1.1,7.443577184,331.1342884,12.24
861,2015,9,118.55,1.6e-05,1007.0,0.0,2.97,19.99107497,334.766906,29.61
871,1101,-12,123.95,1.79e-05,995.0,35.0,2.41,12.89790991,322.6119882,6.72
880,1101,15,122.3,2.15e-05,996.0,35.0,5.98,17.02005389,320.3556914,13.02
888,1013,-12,122.6,2.16e-05,897.5,115.0,2.77,25.87960198,345.0691481,0.9
896,1013,12,118.9,2.07e-05,950.0,80.0,5.95,10.82988341,309.8326614,12.45
897,1013,15,118.6,2.08e-05,950.0,80.0,5.94,10.82715339,337.1057483,13.32
911,1912,6,118.45,2.04e-05,999.0,17.5,3.72,41.62010926,329.5684717,2.85
918,1108,-24,124.1,1.77e-05,997.0,17.5,2.55,0.0,342.2594859,16.92
919,1108,-21,123.9,1.76e-05,996.0,35.0,3.9,7.434571197,322.2126745,17.94
931,1108,15,120.1,2.17e-05,990.0,45.0,6.22,31.34266574,324.120013,17.49
