,ID,t,phi,f,P,mw,w10m,v,r,rf
7,1726,-3,123.45,1.56e-05,1004.0,0.0,4.17,27.74623736,366.8547105,2.1
10,1726,6,121.7,1.44e-05,1004.0,0.0,7.38,23.44483573,364.0667943,9.57
11,1726,9,121.05,1.4e-05,1004.0,0.0,7.35,26.13994006,388.8969423,12.3
21,1826,-12,123.6,2.1e-05,955.0,80.0,2.6,21.3136638,370.4171433,0.03
30,1826,15,118.6,2.14e-05,990.0,50.0,4.03,9.607294936,375.448011,12.42
40,1330,-6,122.5,1.44e-05,940.0,90.0,4.76,42.47964169,392.2265383,10.47
53,2002,-18,124.3,1.76e-05,1006.0,0.0,2.14,18.18099327,364.5829584,7.62
65,2002,18,117.95,2.08e-05,999.0,17.5,4.79,14.478948,392.0367055,18.27
72,1409,-12,124.05,1.65e-05,947.5,82.5,2.55,25.24158398,369.6337962,14.16
81,1409,15,117.6,1.89e-05,970.0,60.0,7.63,25.07771505,367.6453466,19.38
88,1325,-15,124.5,1.92e-05,970.0,70.0,1.38,16.1061061,385.5318168,2.7
99,1325,18,117.6,1.89e-05,970.0,70.0,5.72,21.81114279,367.6453466,15.99
133,1724,18,118.05,2.05e-05,1002.0,35.0,3.6,24.4682718,371.1706085,13.26
173,1510,-15,124.2,2.04e-05,987.5,42.5,3.81,16.05255992,391.9425824,8.88
174,1510,-12,123.8,2.07e-05,985.0,45.0,3.71,16.0396011,367.0414354,10.92
182,1510,12,120.3,2.25e-05,992.0,40.0,2.8,31.39018704,383.730857,1.05
183,1510,15,120.05,2.24e-05,992.0,40.0,3.83,9.016852387,384.2218493,1.83
184,1510,18,119.8,2.24e-05,992.0,40.0,6.47,9.019290292,386.6172269,10.05
190,1929,-15,122.9,1.49e-05,972.5,77.5,2.49,18.25178753,370.2078492,2.28
202,1929,21,117.85,1.72e-05,980.0,70.0,3.18,10.71291239,354.9861177,8.46
203,1929,24,117.7,1.75e-05,985.0,65.0,3.51,10.71004822,363.1799219,3.6
235,1003,18,117.4,1.86e-05,1003.0,0.0,1.41,17.06897241,386.413766,9.33
239,1220,-21,117.45,1.93e-05,991.0,47.5,1.34,9.134894572,388.1032305,13.29
240,1220,-18,117.7,1.92e-05,990.0,50.0,1.58,9.136989268,360.7826295,12.39
251,1220,15,117.7,1.82e-05,994.0,40.0,3.04,11.39448257,353.9237843,1.86
252,1220,18,117.4,1.81e-05,994.0,40.0,2.08,11.39906489,386.9047639,1.38
280,1822,0,121.4,2.25e-05,922.5,100.0,6.9,31.76133813,379.4593965,18.0
281,1822,3,120.5,2.25e-05,940.0,90.0,7.23,31.76133813,380.3144615,25.11
